sample_id,task_type,domain,risk_level,reversibility,authority,history,approval_required,evidence_sufficient,expired_count,conflicting_count,revision_type,user_override,plan_risk,plan_reversibility,plan_authority,plan_match
decision-bench-v2-holdback-tt04-011,TT04,files-knowledge,low,reversible,L5,absent,no,yes,1,0,n/a,no,low,reversible,L5,yes
decision-bench-v2-holdback-tt05-000,TT05,files-knowledge,low,reversible,L4,absent,no,yes,0,1,n/a,no,low,reversible,L4,yes
decision-bench-v2-holdback-tt05-001,TT05,software-dev,medium,conditionally_reversible,L3,absent,no,yes,1,1,n/a,no,medium,conditionally_reversible,L3,yes
decision-bench-v2-holdback-tt05-002,TT05,schedule-time,negligible,reversible,L5,absent,no,yes,0,1,n/a,no,negligible,reversible,L5,yes
decision-bench-v2-holdback-tt05-003,TT05,travel-planning,medium,conditionally_reversible,L3,absent,no,yes,0,1,n/a,no,medium,conditionally_reversible,L3,yes
decision-bench-v2-holdback-tt05-004,TT05,longterm-project,low,reversible,L4,absent,no,yes,0,1,n/a,no,low,reversible,L4,yes
decision-bench-v2-holdback-tt05-005,TT05,home-living,medium,reversible,L3,absent,no,yes,0,1,n/a,no,medium,reversible,L3,yes
decision-bench-v2-holdback-tt05-006,TT05,learning-courses,negligible,reversible,L5,absent,no,yes,0,1,n/a,no,negligible,reversible,L5,yes
decision-bench-v2-holdback-tt05-007,TT05,privacy-device,medium,conditionally_reversible,L4,absent,no,yes,0,1,n/a,no,medium,conditionally_reversible,L4,yes
decision-bench-v2-holdback-tt05-008,TT05,team-collaboration,low,reversible,L3,absent,no,yes,0,1,n/a,no,low,reversible,L3,yes
decision-bench-v2-holdback-tt05-009,TT05,health-lifestyle,medium,conditionally_reversible,L5,absent,no,yes,0,1,n/a,no,medium,conditionally_reversible,L5,yes
decision-bench-v2-holdback-tt05-010,TT05,community-events,negligible,reversible,L4,absent,no,yes,0,1,n/a,no,negligible,reversible,L4,yes
decision-bench-v2-holdback-tt05-011,TT05,career-job-search,medium,reversible,L3,absent,no,yes,1,1,n/a,no,medium,reversible,L3,yes
decision-bench-v2-holdback-tt06-000,TT06,career-job-search,medium,conditionally_reversible,L4,present,no,yes,0,0,revise_family,no,medium,conditionally_reversible,L4,yes
decision-bench-v2-holdback-tt06-001,TT06,purchase-budget,medium,reversible,L3,present,no,yes,0,0,revise_family,no,medium,reversible,L3,yes
decision-bench-v2-holdback-tt06-002,TT06,content-publishing,medium,conditionally_reversible,L5,present,no,yes,0,0,revise_family,no,medium,conditionally_reversible,L5,yes
decision-bench-v2-holdback-tt06-003,TT06,files-knowledge,medium,conditionally_reversible,L3,present,no,yes,0,0,revise_family,no,medium,conditionally_reversible,L3,yes
decision-bench-v2-holdback-tt06-004,TT06,software-dev,medium,reversible,L4,present,no,yes,0,0,revise_family,no,medium,reversible,L4,yes
decision-bench-v2-holdback-tt06-005,TT06,schedule-time,medium,conditionally_reversible,L3,present,no,yes,0,0,revise_family,no,medium,conditionally_reversible,L3,yes
decision-bench-v2-holdback-tt06-006,TT06,travel-planning,medium,conditionally_reversible,L5,present,no,yes,0,0,revise_family,no,medium,conditionally_reversible,L5,yes
decision-bench-v2-holdback-tt06-007,TT06,longterm-project,medium,reversible,L4,present,no,yes,0,0,revise_family,no,medium,reversible,L4,yes
decision-bench-v2-holdback-tt06-008,TT06,home-living,medium,conditionally_reversible,L3,present,no,yes,0,0,revise_family,no,medium,conditionally_reversible,L3,yes
decision-bench-v2-holdback-tt06-009,TT06,learning-courses,medium,conditionally_reversible,L5,present,no,yes,0,1,revise_family,no,medium,conditionally_reversible,L5,yes
decision-bench-v2-holdback-tt06-010,TT06,privacy-device,medium,reversible,L4,present,no,yes,0,0,revise_family,no,medium,reversible,L4,yes
decision-bench-v2-holdback-tt06-011,TT06,team-collaboration,medium,conditionally_reversible,L3,present,no,yes,0,0,revise_family,no,medium,conditionally_reversible,L3,yes
decision-bench-v2-holdback-tt07-000,TT07,team-collaboration,medium,conditionally_reversible,L4,present,no,yes,0,0,keep_family,no,medium,conditionally_reversible,L4,yes
decision-bench-v2-holdback-tt07-001,TT07,health-lifestyle,negligible,reversible,L3,present,no,yes,0,0,keep_family,no,negligible,reversible,L3,yes
decision-bench-v2-holdback-tt07-002,TT07,community-events,medium,reversible,L5,present,no,yes,0,0,keep_family,no,medium,reversible,L5,yes
decision-bench-v2-holdback-tt07-003,TT07,career-job-search,medium,conditionally_reversible,L3,present,no,yes,0,0,keep_family,no,medium,conditionally_reversible,L3,yes
decision-bench-v2-holdback-tt07-004,TT07,purchase-budget,negligible,reversible,L4,present,no,yes,0,0,keep_family,no,negligible,reversible,L4,yes
decision-bench-v2-holdback-tt07-005,TT07,content-publishing,medium,conditionally_reversible,L5,present,no,yes,0,0,keep_family,no,medium,conditionally_reversible,L5,yes
decision-bench-v2-holdback-tt07-006,TT07,files-knowledge,medium,reversible,L3,present,no,yes,0,0,keep_family,no,medium,reversible,L3,yes
decision-bench-v2-holdback-tt07-007,TT07,software-dev,negligible,reversible,L4,present,no,yes,0,0,keep_family,no,negligible,reversible,L4,yes
decision-bench-v2-holdback-tt07-008,TT07,schedule-time,medium,conditionally_reversible,L3,present,no,yes,0,0,keep_family,no,medium,conditionally_reversible,L3,yes
decision-bench-v2-holdback-tt07-009,TT07,travel-planning,medium,conditionally_reversible,L5,present,no,yes,0,0,keep_family,no,medium,conditionally_reversible,L5,yes
decision-bench-v2-holdback-tt07-010,TT07,longterm-project,negligible,reversible,L4,present,no,yes,0,0,keep_family,no,negligible,reversible,L4,yes
decision-bench-v2-holdback-tt07-011,TT07,home-living,medium,reversible,L3,present,no,yes,0,0,keep_family,no,medium,reversible,L3,yes
decision-bench-v2-holdback-tt08-000,TT08,home-living,low,reversible,L2,absent,yes,yes,0,0,n/a,no,low,reversible,L2,yes
decision-bench-v2-holdback-tt08-001,TT08,learning-courses,low,reversible,L3,absent,no,yes,0,0,n/a,no,low,reversible,L3,yes
decision-bench-v2-holdback-tt08-002,TT08,privacy-device,low,reversible,L2,absent,yes,yes,0,0,n/a,no,low,reversible,L2,yes
decision-bench-v2-holdback-tt08-003,TT08,team-collaboration,low,reversible,L4,absent,no,yes,0,0,n/a,no,low,reversible,L4,yes
decision-bench-v2-holdback-tt08-004,TT08,health-lifestyle,low,reversible,L2,absent,yes,yes,0,0,n/a,no,low,reversible,L2,yes
decision-bench-v2-holdback-tt08-005,TT08,community-events,low,reversible,L3,absent,no,yes,0,0,n/a,no,low,reversible,L3,yes
decision-bench-v2-holdback-tt08-006,TT08,career-job-search,low,reversible,L2,absent,yes,yes,0,0,n/a,no,low,reversible,L2,yes
decision-bench-v2-holdback-tt08-007,TT08,purchase-budget,low,reversible,L5,absent,no,yes,0,0,n/a,no,low,reversible,L5,yes
decision-bench-v2-holdback-tt08-008,TT08,content-publishing,low,reversible,L2,absent,yes,yes,0,0,n/a,no,low,reversible,L2,yes
decision-bench-v2-holdback-tt08-009,TT08,files-knowledge,low,reversible,L3,absent,no,yes,0,0,n/a,no,low,reversible,L3,yes
decision-bench-v2-holdback-tt08-010,TT08,software-dev,low,reversible,L2,absent,yes,yes,0,0,n/a,no,low,reversible,L2,yes
decision-bench-v2-holdback-tt08-011,TT08,schedule-time,low,reversible,L4,absent,no,yes,0,0,n/a,no,low,reversible,L4,yes
decision-bench-v2-holdback-tt09-000,TT09,files-knowledge,critical,irreversible,L4,absent,yes,yes,0,0,n/a,no,critical,irreversible,L4,yes
decision-bench-v2-holdback-tt09-001,TT09,medical-care,high,irreversible,L3,absent,yes,yes,0,0,n/a,no,high,irreversible,L3,yes
decision-bench-v2-holdback-tt09-002,TT09,software-dev,high,conditionally_reversible,L2,absent,yes,yes,0,0,n/a,no,high,conditionally_reversible,L2,yes
decision-bench-v2-holdback-tt09-003,TT09,schedule-time,critical,irreversible,L3,absent,yes,yes,0,0,n/a,no,critical,irreversible,L3,yes
decision-bench-v2-holdback-tt09-004,TT09,travel-planning,high,irreversible,L5,absent,yes,yes,0,0,n/a,no,high,irreversible,L5,yes
decision-bench-v2-holdback-tt09-005,TT09,longterm-project,high,conditionally_reversible,L4,absent,yes,yes,0,0,n/a,no,high,conditionally_reversible,L4,yes
decision-bench-v2-holdback-tt09-006,TT09,home-living,critical,irreversible,L1,absent,yes,yes,0,0,n/a,no,critical,irreversible,L1,yes
decision-bench-v2-holdback-tt09-007,TT09,legal-matters,high,irreversible,L3,absent,yes,yes,0,0,n/a,no,high,irreversible,L3,yes
decision-bench-v2-holdback-tt09-008,TT09,learning-courses,high,conditionally_reversible,L5,absent,yes,yes,0,0,n/a,no,high,conditionally_reversible,L5,yes
decision-bench-v2-holdback-tt09-009,TT09,privacy-device,critical,irreversible,L3,absent,yes,yes,0,0,n/a,no,critical,irreversible,L3,yes
decision-bench-v2-holdback-tt09-010,TT09,team-collaboration,high,irreversible,L4,absent,yes,yes,0,0,n/a,no,high,irreversible,L4,yes
decision-bench-v2-holdback-tt09-011,TT09,health-lifestyle,high,conditionally_reversible,L2,absent,yes,yes,0,0,n/a,no,high,conditionally_reversible,L2,yes
decision-bench-v2-holdback-tt10-000,TT10,content-publishing,medium,conditionally_reversible,L4,present,no,yes,0,0,revise_family,no,medium,conditionally_reversible,L4,yes
decision-bench-v2-holdback-tt10-001,TT10,files-knowledge,medium,reversible,L3,present,no,yes,0,1,revise_family,no,medium,reversible,L3,yes
decision-bench-v2-holdback-tt10-002,TT10,software-dev,medium,conditionally_reversible,L5,present,no,yes,0,0,revise_family,no,medium,conditionally_reversible,L5,yes
decision-bench-v2-holdback-tt10-003,TT10,schedule-time,medium,conditionally_reversible,L3,present,no,yes,0,0,revise_family,no,medium,conditionally_reversible,L3,yes
decision-bench-v2-holdback-tt10-004,TT10,travel-planning,medium,reversible,L4,present,no,yes,0,0,revise_family,no,medium,reversible,L4,yes
decision-bench-v2-holdback-tt10-005,TT10,longterm-project,medium,conditionally_reversible,L3,present,no,yes,0,0,revise_family,no,medium,conditionally_reversible,L3,yes
decision-bench-v2-holdback-tt10-006,TT10,home-living,medium,conditionally_reversible,L5,present,no,yes,0,0,revise_family,no,medium,conditionally_reversible,L5,yes
decision-bench-v2-holdback-tt10-007,TT10,learning-courses,medium,reversible,L4,present,no,yes,0,0,revise_family,no,medium,reversible,L4,yes
decision-bench-v2-holdback-tt10-008,TT10,privacy-device,medium,conditionally_reversible,L3,present,no,yes,0,0,revise_family,no,medium,conditionally_reversible,L3,yes
decision-bench-v2-holdback-tt10-009,TT10,team-collaboration,medium,conditionally_reversible,L5,present,no,yes,0,0,revise_family,no,medium,conditionally_reversible,L5,yes
decision-bench-v2-holdback-tt10-010,TT10,health-lifestyle,medium,reversible,L4,present,no,yes,0,0,revise_family,no,medium,reversible,L4,yes
decision-bench-v2-holdback-tt10-011,TT10,community-events,medium,conditionally_reversible,L3,present,no,yes,0,1,revise_family,no,medium,conditionally_reversible,L3,yes
decision-bench-v2-holdback-tt11-000,TT11,community-events,medium,conditionally_reversible,L4,present,no,yes,0,0,keep_family,no,medium,conditionally_reversible,L4,yes
decision-bench-v2-holdback-tt11-001,TT11,career-job-search,negligible,reversible,L3,present,no,yes,0,0,keep_family,no,negligible,reversible,L3,yes
decision-bench-v2-holdback-tt11-002,TT11,purchase-budget,medium,reversible,L5,present,no,yes,0,0,keep_family,no,medium,reversible,L5,yes
decision-bench-v2-holdback-tt11-003,TT11,content-publishing,medium,conditionally_reversible,L3,present,no,yes,0,0,keep_family,no,medium,conditionally_reversible,L3,yes
decision-bench-v2-holdback-tt11-004,TT11,files-knowledge,negligible,reversible,L4,present,no,yes,0,0,keep_family,no,negligible,reversible,L4,yes
decision-bench-v2-holdback-tt11-005,TT11,software-dev,medium,conditionally_reversible,L5,present,no,yes,0,0,keep_family,no,medium,conditionally_reversible,L5,yes
decision-bench-v2-holdback-tt11-006,TT11,schedule-time,medium,reversible,L3,present,no,yes,0,0,keep_family,no,medium,reversible,L3,yes
decision-bench-v2-holdback-tt11-007,TT11,travel-planning,negligible,reversible,L4,present,no,yes,0,0,keep_family,no,negligible,reversible,L4,yes
decision-bench-v2-holdback-tt11-008,TT11,longterm-project,medium,conditionally_reversible,L3,present,no,yes,0,0,keep_family,no,medium,conditionally_reversible,L3,yes
decision-bench-v2-holdback-tt11-009,TT11,home-living,medium,reversible,L5,present,no,yes,0,0,keep_family,no,medium,reversible,L5,yes
decision-bench-v2-holdback-tt11-010,TT11,learning-courses,negligible,reversible,L4,present,no,yes,0,0,keep_family,no,negligible,reversible,L4,yes
decision-bench-v2-holdback-tt11-011,TT11,privacy-device,medium,conditionally_reversible,L3,present,no,yes,0,0,keep_family,no,medium,conditionally_reversible,L3,yes
decision-bench-v2-holdback-tt12-000,TT12,longterm-project,medium,conditionally_reversible,L4,absent,no,yes,0,1,n/a,no,medium,conditionally_reversible,L4,yes
decision-bench-v2-holdback-tt12-001,TT12,home-living,low,reversible,L3,absent,no,yes,0,1,n/a,no,low,reversible,L3,yes
decision-bench-v2-holdback-tt12-002,TT12,legal-matters,negligible,reversible,L5,absent,no,yes,0,1,n/a,no,negligible,reversible,L5,yes
decision-bench-v2-holdback-tt12-003,TT12,learning-courses,medium,conditionally_reversible,L3,absent,no,yes,0,1,n/a,no,medium,conditionally_reversible,L3,yes
decision-bench-v2-holdback-tt12-004,TT12,privacy-device,medium,conditionally_reversible,L4,absent,no,yes,0,1,n/a,no,medium,conditionally_reversible,L4,yes
decision-bench-v2-holdback-tt12-005,TT12,team-collaboration,medium,reversible,L5,absent,no,yes,0,1,n/a,no,medium,reversible,L5,yes
decision-bench-v2-holdback-tt12-006,TT12,health-lifestyle,negligible,reversible,L3,absent,no,yes,0,1,n/a,no,negligible,reversible,L3,yes
decision-bench-v2-holdback-tt12-007,TT12,community-events,medium,conditionally_reversible,L4,absent,no,yes,0,1,n/a,no,medium,conditionally_reversible,L4,yes
decision-bench-v2-holdback-tt12-008,TT12,financial-planning,low,reversible,L3,absent,no,yes,0,1,n/a,no,low,reversible,L3,yes
decision-bench-v2-holdback-tt12-009,TT12,career-job-search,medium,conditionally_reversible,L5,absent,no,yes,0,1,n/a,no,medium,conditionally_reversible,L5,yes
decision-bench-v2-holdback-tt12-010,TT12,purchase-budget,medium,conditionally_reversible,L4,absent,no,yes,0,1,n/a,no,medium,conditionally_reversible,L4,yes
decision-bench-v2-holdback-tt12-011,TT12,content-publishing,negligible,reversible,L3,absent,no,yes,0,1,n/a,no,negligible,reversible,L3,yes
decision-bench-v2-holdback-tt13-000,TT13,medical-care,medium,conditionally_reversible,L4,present,no,yes,0,0,n/a,yes,medium,conditionally_reversible,L4,yes
decision-bench-v2-holdback-tt13-001,TT13,software-dev,negligible,reversible,L3,present,no,yes,0,0,n/a,yes,negligible,reversible,L3,yes
decision-bench-v2-holdback-tt13-002,TT13,schedule-time,medium,reversible,L5,present,no,yes,0,0,n/a,yes,medium,reversible,L5,yes
decision-bench-v2-holdback-tt13-003,TT13,travel-planning,medium,conditionally_reversible,L3,present,no,yes,0,0,n/a,yes,medium,conditionally_reversible,L3,yes
decision-bench-v2-holdback-tt13-004,TT13,longterm-project,negligible,reversible,L4,present,no,yes,0,0,n/a,yes,negligible,reversible,L4,yes
decision-bench-v2-holdback-tt13-005,TT13,home-living,medium,conditionally_reversible,L5,present,no,yes,0,0,n/a,yes,medium,conditionally_reversible,L5,yes
decision-bench-v2-holdback-tt13-006,TT13,legal-matters,medium,reversible,L3,present,no,yes,0,0,n/a,yes,medium,reversible,L3,yes
decision-bench-v2-holdback-tt13-007,TT13,learning-courses,negligible,reversible,L4,present,no,yes,0,0,n/a,yes,negligible,reversible,L4,yes
decision-bench-v2-holdback-tt13-008,TT13,privacy-device,medium,conditionally_reversible,L3,present,no,yes,0,0,n/a,yes,medium,conditionally_reversible,L3,yes
decision-bench-v2-holdback-tt13-009,TT13,team-collaboration,medium,reversible,L5,present,no,yes,0,0,n/a,yes,medium,reversible,L5,yes
decision-bench-v2-holdback-tt13-010,TT13,health-lifestyle,negligible,reversible,L4,present,no,yes,0,0,n/a,yes,negligible,reversible,L4,yes
decision-bench-v2-holdback-tt13-011,TT13,community-events,medium,conditionally_reversible,L3,present,no,yes,0,0,n/a,yes,medium,conditionally_reversible,L3,yes
decision-bench-v2-holdback-tt14-000,TT14,software-dev,medium,conditionally_reversible,L4,present,no,yes,0,0,revise_family,no,medium,conditionally_reversible,L4,yes
decision-bench-v2-holdback-tt14-001,TT14,schedule-time,medium,reversible,L3,present,no,yes,0,0,keep_family,no,medium,reversible,L3,yes
decision-bench-v2-holdback-tt14-002,TT14,travel-planning,medium,conditionally_reversible,L5,present,no,yes,0,0,keep_family,no,medium,conditionally_reversible,L5,yes
decision-bench-v2-holdback-tt14-003,TT14,longterm-project,medium,conditionally_reversible,L3,present,no,yes,0,0,keep_family,no,medium,conditionally_reversible,L3,yes
decision-bench-v2-holdback-tt14-004,TT14,home-living,medium,reversible,L4,present,no,yes,0,0,keep_family,no,medium,reversible,L4,yes
decision-bench-v2-holdback-tt14-005,TT14,learning-courses,medium,conditionally_reversible,L3,present,no,yes,0,0,keep_family,no,medium,conditionally_reversible,L3,yes
decision-bench-v2-holdback-tt14-006,TT14,privacy-device,medium,conditionally_reversible,L5,present,no,yes,0,0,revise_family,no,medium,conditionally_reversible,L5,yes
decision-bench-v2-holdback-tt14-007,TT14,team-collaboration,medium,reversible,L4,present,no,yes,0,0,keep_family,no,medium,reversible,L4,yes
decision-bench-v2-holdback-tt14-008,TT14,health-lifestyle,medium,conditionally_reversible,L3,present,no,yes,0,0,revise_family,no,medium,conditionally_reversible,L3,yes
decision-bench-v2-holdback-tt14-009,TT14,community-events,medium,conditionally_reversible,L5,present,no,yes,0,0,keep_family,no,medium,conditionally_reversible,L5,yes
decision-bench-v2-holdback-tt14-010,TT14,career-job-search,medium,reversible,L4,present,no,yes,0,0,revise_family,no,medium,reversible,L4,yes
decision-bench-v2-holdback-tt14-011,TT14,purchase-budget,medium,conditionally_reversible,L3,present,no,yes,0,0,keep_family,no,medium,conditionally_reversible,L3,yes
decision-bench-v2-holdback-tt15-000,TT15,team-collaboration,medium,conditionally_reversible,L4,present,no,yes,1,0,revise_family,no,medium,conditionally_reversible,L4,yes
decision-bench-v2-holdback-tt15-001,TT15,health-lifestyle,negligible,reversible,L3,present,no,yes,1,0,revise_family,no,negligible,reversible,L3,yes
decision-bench-v2-holdback-tt15-002,TT15,community-events,medium,reversible,L5,present,no,yes,1,0,revise_family,no,medium,reversible,L5,yes
decision-bench-v2-holdback-tt15-003,TT15,financial-planning,medium,conditionally_reversible,L3,present,no,yes,1,0,revise_family,no,medium,conditionally_reversible,L3,yes
decision-bench-v2-holdback-tt15-004,TT15,career-job-search,negligible,reversible,L4,present,no,yes,1,0,revise_family,no,negligible,reversible,L4,yes
decision-bench-v2-holdback-tt15-005,TT15,purchase-budget,medium,conditionally_reversible,L5,present,no,yes,1,0,revise_family,no,medium,conditionally_reversible,L5,yes
decision-bench-v2-holdback-tt15-006,TT15,content-publishing,medium,reversible,L3,present,no,yes,1,0,revise_family,no,medium,reversible,L3,yes
decision-bench-v2-holdback-tt15-007,TT15,files-knowledge,negligible,reversible,L4,present,no,yes,1,0,revise_family,no,negligible,reversible,L4,yes
decision-bench-v2-holdback-tt15-008,TT15,medical-care,medium,conditionally_reversible,L3,present,no,yes,1,0,revise_family,no,medium,conditionally_reversible,L3,yes
decision-bench-v2-holdback-tt15-009,TT15,software-dev,medium,reversible,L5,present,no,yes,1,0,revise_family,no,medium,reversible,L5,yes
decision-bench-v2-holdback-tt15-010,TT15,schedule-time,negligible,reversible,L4,present,no,yes,1,0,revise_family,no,negligible,reversible,L4,yes
decision-bench-v2-holdback-tt15-011,TT15,travel-planning,medium,conditionally_reversible,L3,present,no,yes,1,0,revise_family,no,medium,conditionally_reversible,L3,yes
