stage,scenario_id,category,mode,answer_ms,judge_ms,retrieval_ms,total_ms
Development-35,development-v2-proactive_insight-001,proactive_insight,full_omni,5331,13155,146,320382
Development-35,development-v2-proactive_insight-002,proactive_insight,full_omni,6875,13159,3432,191454
Development-35,development-v2-proactive_insight-003,proactive_insight,full_omni,5845,14540,2719,216510
Development-35,development-v2-proactive_insight-004,proactive_insight,full_omni,7903,7768,2664,273017
Development-35,development-v2-proactive_insight-005,proactive_insight,full_omni,7320,6461,161,188339
Development-35,development-v2-decision_quality-001,decision_quality,full_omni,7429,35156,136,124326
Development-35,development-v2-decision_quality-002,decision_quality,full_omni,7009,21736,3582,168271
Development-35,development-v2-decision_quality-003,decision_quality,full_omni,6658,50396,2719,359451
Development-35,development-v2-decision_quality-004,decision_quality,full_omni,5876,13298,2663,113830
Development-35,development-v2-decision_quality-005,decision_quality,full_omni,5513,7620,152,75879
Development baselines,development-v2-cognitive_continuity-001,cognitive_continuity,no_memory,1718,0,0,1718
Development baselines,development-v2-cognitive_continuity-002,cognitive_continuity,no_memory,1580,0,0,1580
Development baselines,development-v2-cognitive_continuity-003,cognitive_continuity,no_memory,1428,0,0,1428
Development baselines,development-v2-cognitive_continuity-004,cognitive_continuity,no_memory,1593,0,0,1593
Development baselines,development-v2-cognitive_continuity-005,cognitive_continuity,no_memory,1534,0,0,1534
Development baselines,development-v2-memory_evolution-001,memory_evolution,no_memory,1441,0,0,1441
Development baselines,development-v2-memory_evolution-002,memory_evolution,no_memory,1632,0,0,1632
Development baselines,development-v2-memory_evolution-003,memory_evolution,no_memory,1649,0,0,1649
Development baselines,development-v2-memory_evolution-004,memory_evolution,no_memory,1676,0,0,1676
Development baselines,development-v2-memory_evolution-005,memory_evolution,no_memory,1895,0,0,1895
Development baselines,development-v2-conflict_resolution-001,conflict_resolution,no_memory,1324,0,0,1324
Development baselines,development-v2-conflict_resolution-002,conflict_resolution,no_memory,1921,0,0,1921
Development baselines,development-v2-conflict_resolution-003,conflict_resolution,no_memory,1775,0,0,1775
Development baselines,development-v2-conflict_resolution-004,conflict_resolution,no_memory,1969,0,0,1969
Development baselines,development-v2-conflict_resolution-005,conflict_resolution,no_memory,3380,0,0,3380
Development baselines,development-v2-cross_agent_transfer-001,cross_agent_transfer,no_memory,1542,0,0,1542
Development baselines,development-v2-cross_agent_transfer-002,cross_agent_transfer,no_memory,1594,0,0,1594
Development baselines,development-v2-cross_agent_transfer-003,cross_agent_transfer,no_memory,1783,0,0,1783
Development baselines,development-v2-cross_agent_transfer-004,cross_agent_transfer,no_memory,1779,0,0,1779
Development baselines,development-v2-cross_agent_transfer-005,cross_agent_transfer,no_memory,1334,0,0,1334
Development baselines,development-v2-human_like_forgetting-001,human_like_forgetting,no_memory,1439,0,0,1439
Development baselines,development-v2-human_like_forgetting-002,human_like_forgetting,no_memory,1368,0,0,1368
Development baselines,development-v2-human_like_forgetting-003,human_like_forgetting,no_memory,1404,0,0,1404
Development baselines,development-v2-human_like_forgetting-004,human_like_forgetting,no_memory,1530,0,0,1530
Development baselines,development-v2-human_like_forgetting-005,human_like_forgetting,no_memory,1591,0,0,1591
Development baselines,development-v2-proactive_insight-001,proactive_insight,no_memory,1630,36940,0,38570
Development baselines,development-v2-proactive_insight-002,proactive_insight,no_memory,1840,6707,0,8547
Development baselines,development-v2-proactive_insight-003,proactive_insight,no_memory,1562,26413,0,27975
Development baselines,development-v2-proactive_insight-004,proactive_insight,no_memory,1880,16692,0,18572
Development baselines,development-v2-proactive_insight-005,proactive_insight,no_memory,1923,18384,0,20307
Development baselines,development-v2-decision_quality-001,decision_quality,no_memory,3357,17773,0,21130
Development baselines,development-v2-decision_quality-002,decision_quality,no_memory,1795,18630,0,20425
Development baselines,development-v2-decision_quality-003,decision_quality,no_memory,2112,17619,0,19731
Development baselines,development-v2-decision_quality-004,decision_quality,no_memory,1942,6779,0,8721
Development baselines,development-v2-decision_quality-005,decision_quality,no_memory,2851,6658,0,9509
Development baselines,development-v2-cognitive_continuity-001,cognitive_continuity,retrieval_only,3998,0,0,3998
Development baselines,development-v2-cognitive_continuity-002,cognitive_continuity,retrieval_only,3632,0,0,3632
Development baselines,development-v2-cognitive_continuity-003,cognitive_continuity,retrieval_only,3431,0,0,3431
Development baselines,development-v2-cognitive_continuity-004,cognitive_continuity,retrieval_only,3133,0,0,3133
Development baselines,development-v2-cognitive_continuity-005,cognitive_continuity,retrieval_only,3879,0,0,3879
Development baselines,development-v2-memory_evolution-001,memory_evolution,retrieval_only,2744,0,0,2744
Development baselines,development-v2-memory_evolution-002,memory_evolution,retrieval_only,2813,0,0,2813
Development baselines,development-v2-memory_evolution-003,memory_evolution,retrieval_only,4500,0,0,4500
Development baselines,development-v2-memory_evolution-004,memory_evolution,retrieval_only,2447,0,0,2447
Development baselines,development-v2-memory_evolution-005,memory_evolution,retrieval_only,3376,0,0,3376
Development baselines,development-v2-conflict_resolution-001,conflict_resolution,retrieval_only,3123,0,0,3123
Development baselines,development-v2-conflict_resolution-002,conflict_resolution,retrieval_only,2667,0,0,2667
Development baselines,development-v2-conflict_resolution-003,conflict_resolution,retrieval_only,2703,0,0,2703
Development baselines,development-v2-conflict_resolution-004,conflict_resolution,retrieval_only,2746,0,0,2746
Development baselines,development-v2-conflict_resolution-005,conflict_resolution,retrieval_only,4555,0,0,4555
Development baselines,development-v2-cross_agent_transfer-001,cross_agent_transfer,retrieval_only,2879,0,0,2879
Development baselines,development-v2-cross_agent_transfer-002,cross_agent_transfer,retrieval_only,2601,0,0,2601
Development baselines,development-v2-cross_agent_transfer-003,cross_agent_transfer,retrieval_only,2785,0,0,2785
Development baselines,development-v2-cross_agent_transfer-004,cross_agent_transfer,retrieval_only,2337,0,0,2337
Development baselines,development-v2-cross_agent_transfer-005,cross_agent_transfer,retrieval_only,3381,0,0,3381
Development baselines,development-v2-human_like_forgetting-001,human_like_forgetting,retrieval_only,2640,0,0,2640
Development baselines,development-v2-human_like_forgetting-002,human_like_forgetting,retrieval_only,3385,0,0,3385
Development baselines,development-v2-human_like_forgetting-003,human_like_forgetting,retrieval_only,3288,0,0,3288
Development baselines,development-v2-human_like_forgetting-004,human_like_forgetting,retrieval_only,2880,0,0,2880
Development baselines,development-v2-human_like_forgetting-005,human_like_forgetting,retrieval_only,3265,0,0,3265
Development baselines,development-v2-proactive_insight-001,proactive_insight,retrieval_only,3290,18516,0,21806
Development baselines,development-v2-proactive_insight-002,proactive_insight,retrieval_only,5236,8214,0,13450
Development baselines,development-v2-proactive_insight-003,proactive_insight,retrieval_only,2749,7742,0,10491
Development baselines,development-v2-proactive_insight-004,proactive_insight,retrieval_only,4030,9141,0,13171
Development baselines,development-v2-proactive_insight-005,proactive_insight,retrieval_only,4027,6712,0,10739
Development baselines,development-v2-decision_quality-001,decision_quality,retrieval_only,4536,20323,0,24859
Development baselines,development-v2-decision_quality-002,decision_quality,retrieval_only,3942,6844,0,10786
Development baselines,development-v2-decision_quality-003,decision_quality,retrieval_only,3816,15014,0,18830
Development baselines,development-v2-decision_quality-004,decision_quality,retrieval_only,2898,6061,0,8959
Development baselines,development-v2-decision_quality-005,decision_quality,retrieval_only,4345,16846,0,21191
Formal-250,formal-v2-cognitive_continuity-001,cognitive_continuity,full_omni,6932,0,159,76264
Formal-250,formal-v2-cognitive_continuity-002,cognitive_continuity,full_omni,7377,0,179,110234
Formal-250,formal-v2-cognitive_continuity-003,cognitive_continuity,full_omni,6509,0,2668,127684
Formal-250,formal-v2-cognitive_continuity-004,cognitive_continuity,full_omni,7222,0,120,71219
Formal-250,formal-v2-cognitive_continuity-005,cognitive_continuity,full_omni,7361,0,156,56561
Formal-250,formal-v2-cognitive_continuity-006,cognitive_continuity,full_omni,6408,0,127,109065
Formal-250,formal-v2-cognitive_continuity-007,cognitive_continuity,full_omni,7053,0,222,82110
Formal-250,formal-v2-cognitive_continuity-008,cognitive_continuity,full_omni,6055,0,174,162874
Formal-250,formal-v2-cognitive_continuity-009,cognitive_continuity,full_omni,6343,0,2362,101209
Formal-250,formal-v2-cognitive_continuity-010,cognitive_continuity,full_omni,5989,0,265,89339
Formal-250,formal-v2-cognitive_continuity-011,cognitive_continuity,full_omni,5223,0,158,98203
Formal-250,formal-v2-cognitive_continuity-012,cognitive_continuity,full_omni,6760,0,114,100635
Formal-250,formal-v2-cognitive_continuity-013,cognitive_continuity,full_omni,6917,0,2640,152063
Formal-250,formal-v2-cognitive_continuity-014,cognitive_continuity,full_omni,5126,0,2650,118211
Formal-250,formal-v2-cognitive_continuity-015,cognitive_continuity,full_omni,6904,0,2235,156599
Formal-250,formal-v2-cognitive_continuity-016,cognitive_continuity,full_omni,7310,0,2758,123925
Formal-250,formal-v2-cognitive_continuity-017,cognitive_continuity,full_omni,7254,0,2662,117473
Formal-250,formal-v2-cognitive_continuity-018,cognitive_continuity,full_omni,7459,0,2659,207938
Formal-250,formal-v2-cognitive_continuity-019,cognitive_continuity,full_omni,6798,0,109,137297
Formal-250,formal-v2-cognitive_continuity-020,cognitive_continuity,full_omni,6185,0,2653,176329
Formal-250,formal-v2-cognitive_continuity-021,cognitive_continuity,full_omni,6542,0,2705,177199
Formal-250,formal-v2-cognitive_continuity-022,cognitive_continuity,full_omni,7097,0,2674,80214
Formal-250,formal-v2-cognitive_continuity-023,cognitive_continuity,full_omni,6016,0,2542,113407
Formal-250,formal-v2-cognitive_continuity-024,cognitive_continuity,full_omni,5582,0,2447,177745
Formal-250,formal-v2-cognitive_continuity-025,cognitive_continuity,full_omni,6084,0,2632,141956
Formal-250,formal-v2-cognitive_continuity-026,cognitive_continuity,full_omni,6312,0,2692,117875
Formal-250,formal-v2-cognitive_continuity-027,cognitive_continuity,full_omni,7269,0,2672,178799
Formal-250,formal-v2-cognitive_continuity-028,cognitive_continuity,full_omni,5148,0,2638,91331
Formal-250,formal-v2-cognitive_continuity-029,cognitive_continuity,full_omni,6583,0,2634,154395
Formal-250,formal-v2-cognitive_continuity-030,cognitive_continuity,full_omni,6043,0,2668,191416
Formal-250,formal-v2-cognitive_continuity-031,cognitive_continuity,full_omni,6311,0,2456,106055
Formal-250,formal-v2-cognitive_continuity-032,cognitive_continuity,full_omni,7250,0,2653,114478
Formal-250,formal-v2-cognitive_continuity-033,cognitive_continuity,full_omni,7563,0,2676,236168
Formal-250,formal-v2-cognitive_continuity-034,cognitive_continuity,full_omni,7263,0,2661,178728
Formal-250,formal-v2-cognitive_continuity-035,cognitive_continuity,full_omni,5687,0,2633,182989
Formal-250,formal-v2-cognitive_continuity-036,cognitive_continuity,full_omni,5120,0,2672,243581
Formal-250,formal-v2-cognitive_continuity-037,cognitive_continuity,full_omni,6319,0,2696,204795
Formal-250,formal-v2-cognitive_continuity-038,cognitive_continuity,full_omni,8144,0,2665,198074
Formal-250,formal-v2-cognitive_continuity-039,cognitive_continuity,full_omni,5197,0,2482,184401
Formal-250,formal-v2-cognitive_continuity-040,cognitive_continuity,full_omni,7288,0,2660,233939
Formal-250,formal-v2-memory_evolution-001,memory_evolution,full_omni,3255,0,104,129087
Formal-250,formal-v2-memory_evolution-002,memory_evolution,full_omni,2664,0,115,102725
Formal-250,formal-v2-memory_evolution-003,memory_evolution,full_omni,3142,0,295,65094
Formal-250,formal-v2-memory_evolution-004,memory_evolution,full_omni,2961,0,98,62147
Formal-250,formal-v2-memory_evolution-005,memory_evolution,full_omni,2668,0,99,60492
Formal-250,formal-v2-memory_evolution-006,memory_evolution,full_omni,2294,0,105,92720
Formal-250,formal-v2-memory_evolution-007,memory_evolution,full_omni,2500,0,112,86595
Formal-250,formal-v2-memory_evolution-008,memory_evolution,full_omni,2340,0,108,86328
Formal-250,formal-v2-memory_evolution-009,memory_evolution,full_omni,2436,0,108,140087
Formal-250,formal-v2-memory_evolution-010,memory_evolution,full_omni,2515,0,105,64345
Formal-250,formal-v2-memory_evolution-011,memory_evolution,full_omni,2675,0,101,95981
Formal-250,formal-v2-memory_evolution-012,memory_evolution,full_omni,2901,0,126,149180
Formal-250,formal-v2-memory_evolution-013,memory_evolution,full_omni,2258,0,119,65216
Formal-250,formal-v2-memory_evolution-014,memory_evolution,full_omni,3593,0,2653,124667
Formal-250,formal-v2-memory_evolution-015,memory_evolution,full_omni,5683,0,2113,150695
Formal-250,formal-v2-memory_evolution-016,memory_evolution,full_omni,2174,0,110,49387
Formal-250,formal-v2-memory_evolution-017,memory_evolution,full_omni,5537,0,2095,191093
Formal-250,formal-v2-memory_evolution-018,memory_evolution,full_omni,4118,0,2212,133522
Formal-250,formal-v2-memory_evolution-019,memory_evolution,full_omni,2408,0,2226,126678
Formal-250,formal-v2-memory_evolution-020,memory_evolution,full_omni,4106,0,2390,113344
Formal-250,formal-v2-memory_evolution-021,memory_evolution,full_omni,5369,0,1928,186303
Formal-250,formal-v2-memory_evolution-022,memory_evolution,full_omni,2565,0,2236,96488
Formal-250,formal-v2-memory_evolution-023,memory_evolution,full_omni,5088,0,2645,160596
Formal-250,formal-v2-memory_evolution-024,memory_evolution,full_omni,7293,0,2624,151476
Formal-250,formal-v2-memory_evolution-025,memory_evolution,full_omni,3172,0,104,126147
Formal-250,formal-v2-memory_evolution-026,memory_evolution,full_omni,6765,0,2657,122949
Formal-250,formal-v2-memory_evolution-027,memory_evolution,full_omni,7416,0,2640,189371
Formal-250,formal-v2-memory_evolution-028,memory_evolution,full_omni,3760,0,2658,160126
Formal-250,formal-v2-memory_evolution-029,memory_evolution,full_omni,5750,0,2639,223364
Formal-250,formal-v2-memory_evolution-030,memory_evolution,full_omni,5455,0,2743,183656
Formal-250,formal-v2-memory_evolution-031,memory_evolution,full_omni,3051,0,116,150120
Formal-250,formal-v2-memory_evolution-032,memory_evolution,full_omni,4914,0,2632,167012
Formal-250,formal-v2-memory_evolution-033,memory_evolution,full_omni,5226,0,2643,190416
Formal-250,formal-v2-memory_evolution-034,memory_evolution,full_omni,5879,0,2656,179668
Formal-250,formal-v2-memory_evolution-035,memory_evolution,full_omni,6574,0,2668,228499
Formal-250,formal-v2-memory_evolution-036,memory_evolution,full_omni,5785,0,2636,203508
Formal-250,formal-v2-memory_evolution-037,memory_evolution,full_omni,3915,0,2468,212813
Formal-250,formal-v2-memory_evolution-038,memory_evolution,full_omni,4665,0,2643,178096
Formal-250,formal-v2-conflict_resolution-001,conflict_resolution,full_omni,3851,0,111,92931
Formal-250,formal-v2-conflict_resolution-002,conflict_resolution,full_omni,3088,0,104,78888
Formal-250,formal-v2-conflict_resolution-003,conflict_resolution,full_omni,3350,0,129,76489
Formal-250,formal-v2-conflict_resolution-004,conflict_resolution,full_omni,3700,0,124,49158
Formal-250,formal-v2-conflict_resolution-005,conflict_resolution,full_omni,2850,0,110,87699
Formal-250,formal-v2-conflict_resolution-006,conflict_resolution,full_omni,3285,0,114,109715
Formal-250,formal-v2-conflict_resolution-007,conflict_resolution,full_omni,3297,0,136,97740
Formal-250,formal-v2-conflict_resolution-008,conflict_resolution,full_omni,3600,0,112,93245
Formal-250,formal-v2-conflict_resolution-009,conflict_resolution,full_omni,3675,0,126,81804
Formal-250,formal-v2-conflict_resolution-010,conflict_resolution,full_omni,3388,0,155,75859
Formal-250,formal-v2-conflict_resolution-011,conflict_resolution,full_omni,4277,0,175,104785
Formal-250,formal-v2-conflict_resolution-012,conflict_resolution,full_omni,3428,0,114,98514
Formal-250,formal-v2-conflict_resolution-013,conflict_resolution,full_omni,3448,0,108,59951
Formal-250,formal-v2-conflict_resolution-014,conflict_resolution,full_omni,3094,0,2572,176464
Formal-250,formal-v2-conflict_resolution-015,conflict_resolution,full_omni,3686,0,2276,157405
Formal-250,formal-v2-conflict_resolution-016,conflict_resolution,full_omni,4561,0,2657,94948
Formal-250,formal-v2-conflict_resolution-017,conflict_resolution,full_omni,3475,0,2651,175523
Formal-250,formal-v2-conflict_resolution-018,conflict_resolution,full_omni,3254,0,2481,151314
Formal-250,formal-v2-conflict_resolution-019,conflict_resolution,full_omni,2797,0,2383,108338
Formal-250,formal-v2-conflict_resolution-020,conflict_resolution,full_omni,4057,0,2467,112613
Formal-250,formal-v2-conflict_resolution-021,conflict_resolution,full_omni,3283,0,2674,134446
Formal-250,formal-v2-conflict_resolution-022,conflict_resolution,full_omni,3587,0,2618,99015
Formal-250,formal-v2-conflict_resolution-023,conflict_resolution,full_omni,4712,0,2441,223133
Formal-250,formal-v2-conflict_resolution-024,conflict_resolution,full_omni,3660,0,2359,189536
Formal-250,formal-v2-conflict_resolution-025,conflict_resolution,full_omni,3114,0,2655,99621
Formal-250,formal-v2-conflict_resolution-026,conflict_resolution,full_omni,3529,0,2665,141162
Formal-250,formal-v2-conflict_resolution-027,conflict_resolution,full_omni,3157,0,2584,161303
Formal-250,formal-v2-conflict_resolution-028,conflict_resolution,full_omni,3180,0,2641,180539
Formal-250,formal-v2-conflict_resolution-029,conflict_resolution,full_omni,3076,0,2659,119561
Formal-250,formal-v2-conflict_resolution-030,conflict_resolution,full_omni,3505,0,2755,115897
Formal-250,formal-v2-conflict_resolution-031,conflict_resolution,full_omni,3318,0,2643,108964
Formal-250,formal-v2-conflict_resolution-032,conflict_resolution,full_omni,3551,0,2670,102320
Formal-250,formal-v2-conflict_resolution-033,conflict_resolution,full_omni,3412,0,2648,260806
Formal-250,formal-v2-conflict_resolution-034,conflict_resolution,full_omni,3659,0,2674,182817
Formal-250,formal-v2-conflict_resolution-035,conflict_resolution,full_omni,4104,0,2650,208758
Formal-250,formal-v2-conflict_resolution-036,conflict_resolution,full_omni,4408,0,2709,196483
Formal-250,formal-v2-conflict_resolution-037,conflict_resolution,full_omni,3221,0,2671,344370
Formal-250,formal-v2-conflict_resolution-038,conflict_resolution,full_omni,8148,0,2688,228664
Formal-250,formal-v2-conflict_resolution-039,conflict_resolution,full_omni,3155,0,2780,165897
Formal-250,formal-v2-conflict_resolution-040,conflict_resolution,full_omni,5063,0,2667,275263
Formal-250,formal-v2-cross_agent_transfer-001,cross_agent_transfer,full_omni,3794,0,130,72037
Formal-250,formal-v2-cross_agent_transfer-002,cross_agent_transfer,full_omni,4248,0,109,103082
Formal-250,formal-v2-cross_agent_transfer-003,cross_agent_transfer,full_omni,7022,0,112,93412
Formal-250,formal-v2-cross_agent_transfer-004,cross_agent_transfer,full_omni,3523,0,136,194151
Formal-250,formal-v2-cross_agent_transfer-005,cross_agent_transfer,full_omni,4347,0,142,109325
Formal-250,formal-v2-cross_agent_transfer-006,cross_agent_transfer,full_omni,4758,0,135,149277
Formal-250,formal-v2-cross_agent_transfer-007,cross_agent_transfer,full_omni,4591,0,105,125507
Formal-250,formal-v2-cross_agent_transfer-008,cross_agent_transfer,full_omni,5362,0,140,214907
Formal-250,formal-v2-cross_agent_transfer-009,cross_agent_transfer,full_omni,3894,0,121,123804
Formal-250,formal-v2-cross_agent_transfer-010,cross_agent_transfer,full_omni,3283,0,2696,152049
Formal-250,formal-v2-cross_agent_transfer-011,cross_agent_transfer,full_omni,3818,0,2371,148527
Formal-250,formal-v2-cross_agent_transfer-012,cross_agent_transfer,full_omni,4636,0,2562,137223
Formal-250,formal-v2-cross_agent_transfer-013,cross_agent_transfer,full_omni,3945,0,116,105699
Formal-250,formal-v2-cross_agent_transfer-014,cross_agent_transfer,full_omni,3651,0,2492,106903
Formal-250,formal-v2-cross_agent_transfer-015,cross_agent_transfer,full_omni,3561,0,2663,239635
Formal-250,formal-v2-cross_agent_transfer-016,cross_agent_transfer,full_omni,3227,0,119,224603
Formal-250,formal-v2-cross_agent_transfer-017,cross_agent_transfer,full_omni,3219,0,2789,124971
Formal-250,formal-v2-cross_agent_transfer-018,cross_agent_transfer,full_omni,3876,0,2674,198387
Formal-250,formal-v2-cross_agent_transfer-019,cross_agent_transfer,full_omni,4014,0,163,137043
Formal-250,formal-v2-cross_agent_transfer-020,cross_agent_transfer,full_omni,5751,0,2713,206751
Formal-250,formal-v2-cross_agent_transfer-021,cross_agent_transfer,full_omni,6165,0,2660,182268
Formal-250,formal-v2-cross_agent_transfer-022,cross_agent_transfer,full_omni,4037,0,2424,171624
Formal-250,formal-v2-cross_agent_transfer-023,cross_agent_transfer,full_omni,4298,0,2195,152843
Formal-250,formal-v2-cross_agent_transfer-024,cross_agent_transfer,full_omni,5007,0,2680,201177
Formal-250,formal-v2-cross_agent_transfer-025,cross_agent_transfer,full_omni,4560,0,2690,132599
Formal-250,formal-v2-cross_agent_transfer-026,cross_agent_transfer,full_omni,7628,0,2674,196863
Formal-250,formal-v2-cross_agent_transfer-027,cross_agent_transfer,full_omni,3436,0,2652,219717
Formal-250,formal-v2-cross_agent_transfer-028,cross_agent_transfer,full_omni,3774,0,2671,213617
Formal-250,formal-v2-cross_agent_transfer-029,cross_agent_transfer,full_omni,6743,0,2720,240471
Formal-250,formal-v2-cross_agent_transfer-030,cross_agent_transfer,full_omni,5041,0,2703,316057
Formal-250,formal-v2-human_like_forgetting-001,human_like_forgetting,full_omni,7419,0,128,103932
Formal-250,formal-v2-human_like_forgetting-002,human_like_forgetting,full_omni,6780,0,120,132720
Formal-250,formal-v2-human_like_forgetting-003,human_like_forgetting,full_omni,5104,0,2699,192340
Formal-250,formal-v2-human_like_forgetting-004,human_like_forgetting,full_omni,9720,0,117,230261
Formal-250,formal-v2-human_like_forgetting-005,human_like_forgetting,full_omni,8649,0,2716,118033
Formal-250,formal-v2-human_like_forgetting-006,human_like_forgetting,full_omni,6601,0,113,153520
Formal-250,formal-v2-human_like_forgetting-007,human_like_forgetting,full_omni,5624,0,106,89411
Formal-250,formal-v2-human_like_forgetting-008,human_like_forgetting,full_omni,6627,0,106,88458
Formal-250,formal-v2-human_like_forgetting-009,human_like_forgetting,full_omni,8528,0,118,129302
Formal-250,formal-v2-human_like_forgetting-010,human_like_forgetting,full_omni,6242,0,107,85102
Formal-250,formal-v2-human_like_forgetting-011,human_like_forgetting,full_omni,6015,0,160,88045
Formal-250,formal-v2-human_like_forgetting-012,human_like_forgetting,full_omni,7116,0,114,67126
Formal-250,formal-v2-human_like_forgetting-013,human_like_forgetting,full_omni,5939,0,127,73516
Formal-250,formal-v2-human_like_forgetting-014,human_like_forgetting,full_omni,6287,0,2681,271085
Formal-250,formal-v2-human_like_forgetting-015,human_like_forgetting,full_omni,8270,0,2615,217633
Formal-250,formal-v2-human_like_forgetting-016,human_like_forgetting,full_omni,7372,0,2634,164381
Formal-250,formal-v2-human_like_forgetting-017,human_like_forgetting,full_omni,5759,0,2577,126506
Formal-250,formal-v2-human_like_forgetting-018,human_like_forgetting,full_omni,7226,0,2660,230958
Formal-250,formal-v2-human_like_forgetting-019,human_like_forgetting,full_omni,7694,0,2708,142725
Formal-250,formal-v2-human_like_forgetting-020,human_like_forgetting,full_omni,9967,0,2660,138399
Formal-250,formal-v2-human_like_forgetting-021,human_like_forgetting,full_omni,9351,0,2674,229032
Formal-250,formal-v2-human_like_forgetting-022,human_like_forgetting,full_omni,7476,0,2832,169226
Formal-250,formal-v2-human_like_forgetting-023,human_like_forgetting,full_omni,7130,0,2672,151505
Formal-250,formal-v2-human_like_forgetting-024,human_like_forgetting,full_omni,6601,0,2657,208424
Formal-250,formal-v2-human_like_forgetting-025,human_like_forgetting,full_omni,8339,0,2657,139864
Formal-250,formal-v2-human_like_forgetting-026,human_like_forgetting,full_omni,7360,0,2551,157565
Formal-250,formal-v2-human_like_forgetting-027,human_like_forgetting,full_omni,77874,0,2725,207130
Formal-250,formal-v2-human_like_forgetting-028,human_like_forgetting,full_omni,7570,0,102,80792
Formal-250,formal-v2-human_like_forgetting-029,human_like_forgetting,full_omni,6459,0,2623,167463
Formal-250,formal-v2-human_like_forgetting-030,human_like_forgetting,full_omni,6319,0,2669,169390
Formal-250,formal-v2-human_like_forgetting-031,human_like_forgetting,full_omni,6270,0,2755,123309
Formal-250,formal-v2-human_like_forgetting-032,human_like_forgetting,full_omni,5773,0,2728,169919
Formal-250,formal-v2-human_like_forgetting-033,human_like_forgetting,full_omni,5688,0,2685,285950
Formal-250,formal-v2-human_like_forgetting-034,human_like_forgetting,full_omni,6147,0,2652,210526
Formal-250,formal-v2-human_like_forgetting-035,human_like_forgetting,full_omni,5995,0,2685,193897
Formal-250,formal-v2-human_like_forgetting-036,human_like_forgetting,full_omni,7401,0,2669,220776
Formal-250,formal-v2-human_like_forgetting-037,human_like_forgetting,full_omni,7781,0,2647,239498
Formal-250,formal-v2-human_like_forgetting-038,human_like_forgetting,full_omni,8552,0,2652,333141
Formal-250,formal-v2-human_like_forgetting-039,human_like_forgetting,full_omni,5818,0,2461,351626
Formal-250,formal-v2-human_like_forgetting-040,human_like_forgetting,full_omni,6724,0,2663,223978
Formal-250,formal-v2-proactive_insight-001,proactive_insight,full_omni,5494,5004,106,229001
Formal-250,formal-v2-proactive_insight-002,proactive_insight,full_omni,6012,11224,134,129193
