mode,category,category_label,scenario_count,completed,errors,core_score_mean,core_score_median,minimum,maximum,standard_deviation,key_submetrics,source_file,source_field,extraction_script,validation_status
retrieval_only,cross_agent_transfer,Cross-Agent Transfer,10,10,0,0.755556,0.722222,0.666667,0.944444,0.10304,"{""cross_agent_recall"":0.5,""cross_agent_consistency"":1,""update_propagation_accuracy"":0.2,""provenance_preservation"":0.833333,""agent_isolation_error_rate"":0,""stale_transfer_rate"":0}",<LOCAL_EVIDENCE_ROOT>/13-comparison-70/results.jsonl,latest terminal records where category=cross_agent_transfer: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
retrieval_only,human_like_forgetting,Human-like Forgetting,10,10,0,0.669444,0.763889,0.416667,1,0.217466,"{""salient_memory_retention"":0.6,""noise_suppression"":0.966667,""false_forgetting_rate"":0.4,""stale_retention_rate"":0.033333,""memory_precision"":0.783333,""memory_compression_ratio"":null,""invalidation_accuracy"":0.1}",<LOCAL_EVIDENCE_ROOT>/13-comparison-70/results.jsonl,latest terminal records where category=human_like_forgetting: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
retrieval_only,proactive_insight,Proactive Insight,10,10,0,0.4875,0.484375,0.28125,0.8125,0.15,"{""insight_precision"":0.4,""insight_recall"":0.325,""blind_spot_detection_rate"":0.325,""constraint_awareness"":0.125,""actionability"":0.4,""unsupported_claim_rate"":0.325,""redundant_insight_rate"":0.05,""overreach_rate"":0.3}",<LOCAL_EVIDENCE_ROOT>/13-comparison-70/results.jsonl,latest terminal records where category=proactive_insight: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
retrieval_only,decision_quality,Decision Quality,10,10,0,0.602963,0.606481,0.481481,0.727407,0.077752,"{""constraint_coverage"":0.85,""goal_alignment"":0.575,""personalization"":0.666667,""option_comparison_quality"":0.525,""risk_awareness"":0.425,""actionability"":0.35,""internal_consistency"":0.75,""unsupported_assumption_rate"":0.2,""overall_decision_quality"":0.485}",<LOCAL_EVIDENCE_ROOT>/13-comparison-70/results.jsonl,latest terminal records where category=decision_quality: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
no_memory,cognitive_continuity,Cognitive Continuity,10,10,0,0.5,0.5,0.5,0.5,0,"{""profile_recall"":0,""profile_consistency"":1,""constraint_utilization"":0,""personalization_accuracy"":0,""contradiction_rate"":0,""unsupported_personalization_rate"":0}",<LOCAL_EVIDENCE_ROOT>/13-comparison-70/results.jsonl,latest terminal records where category=cognitive_continuity: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
no_memory,memory_evolution,Memory Evolution,10,10,0,0.208333,0.208333,0.208333,0.208333,0,"{""current_state_accuracy"":0,""historical_state_preservation"":0,""temporal_ordering_accuracy"":0,""evolution_interpretation_accuracy"":0,""stale_memory_leakage"":0,""state_transition_accuracy"":0.25}",<LOCAL_EVIDENCE_ROOT>/13-comparison-70/results.jsonl,latest terminal records where category=memory_evolution: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
no_memory,conflict_resolution,Conflict Resolution,10,10,0,0.222222,0.222222,0.222222,0.222222,0,"{""conflict_resolution_accuracy"":0.333333,""latest_valid_fact_accuracy"":0,""historical_query_accuracy"":0,""invalidated_fact_rejection"":0,""conflict_disclosure_accuracy"":0,""unsupported_resolution_rate"":0}",<LOCAL_EVIDENCE_ROOT>/13-comparison-70/results.jsonl,latest terminal records where category=conflict_resolution: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
no_memory,cross_agent_transfer,Cross-Agent Transfer,10,10,0,0.5,0.5,0.5,0.5,0,"{""cross_agent_recall"":0,""cross_agent_consistency"":1,""update_propagation_accuracy"":0,""provenance_preservation"":0,""agent_isolation_error_rate"":0,""stale_transfer_rate"":0}",<LOCAL_EVIDENCE_ROOT>/13-comparison-70/results.jsonl,latest terminal records where category=cross_agent_transfer: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
no_memory,human_like_forgetting,Human-like Forgetting,10,10,0,0.416667,0.416667,0.416667,0.416667,0,"{""salient_memory_retention"":0,""noise_suppression"":1,""false_forgetting_rate"":1,""stale_retention_rate"":0,""memory_precision"":0.5,""memory_compression_ratio"":null,""invalidation_accuracy"":0}",<LOCAL_EVIDENCE_ROOT>/13-comparison-70/results.jsonl,latest terminal records where category=human_like_forgetting: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
no_memory,proactive_insight,Proactive Insight,10,10,0,0.4,0.40625,0.375,0.4375,0.023385,"{""insight_precision"":0,""insight_recall"":0,""blind_spot_detection_rate"":0,""constraint_awareness"":0.1,""actionability"":0.1,""unsupported_claim_rate"":0,""redundant_insight_rate"":0,""overreach_rate"":0}",<LOCAL_EVIDENCE_ROOT>/13-comparison-70/results.jsonl,latest terminal records where category=proactive_insight: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
no_memory,decision_quality,Decision Quality,10,10,0,0.305556,0.305556,0.231481,0.416667,0.050756,"{""constraint_coverage"":0.2,""goal_alignment"":0.025,""personalization"":0.45,""option_comparison_quality"":0,""risk_awareness"":0.05,""actionability"":0.175,""internal_consistency"":0.8,""unsupported_assumption_rate"":0,""overall_decision_quality"":0.05}",<LOCAL_EVIDENCE_ROOT>/13-comparison-70/results.jsonl,latest terminal records where category=decision_quality: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
